item;Massa;Unid;;itens;Massa (g);Deslocamento (mm);;;;;
SM;149,73;g;;SM+G;167,77;198,00;;SMG;198,00;198.0;SMG 198.0mm
Gancho;18,04;g;;M1;467,48;204,50;;M1;204,50;204.5;M1 204.5mm
M1;299,71;g;;M1-2;767,24;210,50;;M12;210,50;210.5;M12 210.5mm
M2;299,76;g;;M1-3;1067,03;217,00;;M123;217,00;217.0;M123 217.0mm
M3;299,79;g;;M1-4;1477,75;225,50;;M1234;225,50;225.5;M1234 225.5mm
M4;410,72;g;;M1-5;1698,98;230,00;;M12345;230,00;230.0;M12345 230.0mm
M5;221,23;g;;M1-6;1921,98;235,00;;M123456;235,00;235.0;M123456 235.0mm
M6;223,00;g;;M1-7;2391,20;245,00;;M1234567;245,00;245.0;M1234567 245.0mm
M7;469,22;g;;M1-6;1921,98;235,50;;M123456;235,50;235.5;M123456 235.5mm
;;;;M1-5;1698,98;231,00;;M12345;231,00;231.0;M12345 231.0mm
;;;;M1-4;1477,75;226,50;;M1234;226,50;226.5;M1234 226.5mm
;;;;M1-3;1067,03;218,00;;M123;218,00;218.0;M123 218.0mm
;;;;M1-2;767,24;211,00;;M12;211,00;211.0;M12 211.0mm
;;;;M1;467,48;204,50;;M1;204,50;204.5;M1 204.5mm
;;;;SM+G;167,77;198,50;;SMG;198,50;198.5;SMG 198.5mm
